major,minor,name,tls_version,kex_algs,auth_alg,bulk_enc_alg,bulk_enc_alg_sec_len,mac_alg
0x00,0x9A,DHE-RSA-SEED-SHA,SSLv3,DH,RSA,SEED,128,SHA1
0x00,0x9B,ADH-SEED-SHA,SSLv3,DH,None,SEED,128,SHA1
0x00,0x9C,AES128-GCM-SHA256,TLSv1.2,RSA,RSA,AESGCM,128,AEAD
0x00,0x9D,AES256-GCM-SHA384,TLSv1.2,RSA,RSA,AESGCM,256,AEAD
0x00,0x9E,DHE-RSA-AES128-GCM-SHA256,TLSv1.2,DH,RSA,AESGCM,128,AEAD
0x00,0x9F,DHE-RSA-AES256-GCM-SHA384,TLSv1.2,DH,RSA,AESGCM,256,AEAD
0x00,0xA0,DH-RSA-AES128-GCM-SHA256,TLSv1.2,DH/RSA,DH,AESGCM,128,AEAD
0x00,0xA1,DH-RSA-AES256-GCM-SHA384,TLSv1.2,DH/RSA,DH,AESGCM,256,AEAD
0x00,0xA2,DHE-DSS-AES128-GCM-SHA256,TLSv1.2,DH,DSS,AESGCM,128,AEAD
0x00,0xA3,DHE-DSS-AES256-GCM-SHA384,TLSv1.2,DH,DSS,AESGCM,256,AEAD
0x00,0xA4,DH-DSS-AES128-GCM-SHA256,TLSv1.2,DH/DSS,DH,AESGCM,128,AEAD
0x00,0xA5,DH-DSS-AES256-GCM-SHA384,TLSv1.2,DH/DSS,DH,AESGCM,256,AEAD
0x00,0xA6,ADH-AES128-GCM-SHA256,TLSv1.2,DH,None,AESGCM,128,AEAD
0x00,0xA7,ADH-AES256-GCM-SHA384,TLSv1.2,DH,None,AESGCM,256,AEAD
0x00,0xA8,PSK-AES128-GCM-SHA256,TLSv1.2,PSK,PSK,AESGCM,128,AEAD
0x00,0xA9,PSK-AES256-GCM-SHA384,TLSv1.2,PSK,PSK,AESGCM,256,AEAD
0x00,0xAA,DHE-PSK-AES128-GCM-SHA256,TLSv1.2,DHEPSK,PSK,AESGCM,128,AEAD
0x00,0xAB,DHE-PSK-AES256-GCM-SHA384,TLSv1.2,DHEPSK,PSK,AESGCM,256,AEAD
0x00,0xAC,RSA-PSK-AES128-GCM-SHA256,TLSv1.2,RSAPSK,RSA,AESGCM,128,AEAD
0x00,0xAD,RSA-PSK-AES256-GCM-SHA384,TLSv1.2,RSAPSK,RSA,AESGCM,256,AEAD
0x00,0xAE,PSK-AES128-CBC-SHA256,TLSv1,PSK,PSK,AES,128,SHA256
0x00,0xAF,PSK-AES256-CBC-SHA384,TLSv1,PSK,PSK,AES,256,SHA384
0x00,0xB2,DHE-PSK-AES128-CBC-SHA256,TLSv1,DHEPSK,PSK,AES,128,SHA256
0x00,0xB3,DHE-PSK-AES256-CBC-SHA384,TLSv1,DHEPSK,PSK,AES,256,SHA384
0x00,0xB6,RSA-PSK-AES128-CBC-SHA256,TLSv1,RSAPSK,RSA,AES,128,SHA256
0x00,0xB7,RSA-PSK-AES256-CBC-SHA384,TLSv1,RSAPSK,RSA,AES,256,SHA384
0x00,0xBA,CAMELLIA128-SHA256,TLSv1.2,RSA,RSA,Camellia,128,SHA256
0x00,0xBD,DHE-DSS-CAMELLIA128-SHA256,TLSv1.2,DH,DSS,Camellia,128,SHA256
0x00,0xBE,DHE-RSA-CAMELLIA128-SHA256,TLSv1.2,DH,RSA,Camellia,128,SHA256
0x00,0xBF,ADH-CAMELLIA128-SHA256,TLSv1.2,DH,None,Camellia,128,SHA256
0x00,0xC0,CAMELLIA256-SHA256,TLSv1.2,RSA,RSA,Camellia,256,SHA256
0x00,0xC3,DHE-DSS-CAMELLIA256-SHA256,TLSv1.2,DH,DSS,Camellia,256,SHA256
0x00,0xC4,DHE-RSA-CAMELLIA256-SHA256,TLSv1.2,DH,RSA,Camellia,256,SHA256
0x00,0xC5,ADH-CAMELLIA256-SHA256,TLSv1.2,DH,None,Camellia,256,SHA256
0x13,0x01,TLS_AES_128_GCM_SHA256,TLSv1.3,any,any,AESGCM,128,AEAD
